iter	RMSE
0	108697.2657
1	102690.3031
2	97395.18584
3	92944.68587
4	88698.17868
5	85102.86183
6	81801.93892
7	78886.90904
8	76248.65487
9	74014.22987
10	71993.65801
11	70138.21047
12	68534.30588
13	67155.35853
14	65899.26319
15	64841.56058
16	63694.37796
17	62806.35004
18	61938.7668
19	61250.89349
20	60612.22783
21	59766.11347
22	59356.43595
23	58764.90834
24	58383.29261
25	57891.29488
26	57527.95829
27	57031.7985
28	56644.76232
29	56383.06623
30	56003.00555
31	55662.93216
32	55394.96801
33	55133.42065
34	54718.25747
35	54541.6593
36	54257.10676
37	54008.26713
38	53800.86503
39	53482.82657
40	53338.72003
41	53104.13496
42	52905.82021
43	52731.29447
44	52566.18994
45	52435.88086
46	52319.25812
47	52204.50526
48	52056.25002
49	51955.52099
50	51799.57863
51	51684.73838
52	51601.29642
53	51529.99306
54	51432.70156
55	51341.09071
56	51259.04746
57	51123.52045
58	51050.30815
59	50937.54371
60	50857.52871
61	50762.85669
62	50556.34651
63	50264.35677
64	50107.56131
65	50045.43514
66	49962.28773
67	49847.26509
68	49791.25321
69	49626.03575
70	49545.72694
71	49463.92078
72	49387.32472
73	49235.32037
74	49149.91108
75	49041.47196
76	48975.31563
77	48879.95391
78	48799.92833
79	48695.12619
80	48579.91714
81	48488.11927
82	48458.78676
83	48309.54747
84	48280.82329
85	48173.88312
86	48074.55191
87	47967.58733
88	47891.37453
89	47778.42293
90	47674.28034
91	47604.275
92	47513.28882
93	47437.6979
94	47308.53481
95	47240.01031
96	47145.36368
97	47075.17369
98	46985.12824
99	46896.60345
100	46828.04173
101	46762.42916
102	46701.41315
103	46623.45612
104	46537.56809
105	46476.47117
106	46428.17886
107	46321.21758
108	46255.83898
109	46192.20889
110	46131.93076
111	46048.54391
112	45994.6676
113	45934.21356
114	45853.75901
115	45792.94324
116	45726.87612
117	45632.66129
118	45563.91484
119	45498.50417
120	45418.9565
121	45360.13632
122	45286.54819
123	45209.9289
124	45142.74185
125	45093.12148
126	45012.77332
127	44938.728
128	44843.04796
129	44738.74222
130	44659.70647
131	44575.6357
132	44488.86828
133	44415.52144
134	44328.59363
135	44259.0902
136	44207.7194
137	44152.19129
138	44100.01528
139	44015.89839
140	43962.2372
141	43920.24839
142	43822.38866
143	43764.55877
144	43695.98901
145	43643.06801
146	43585.04667
147	43530.30442
148	43465.9972
149	43418.99023
150	43365.18853
151	43305.31868
152	43254.46564
153	43186.14334
154	43141.04035
155	43099.93795
156	43040.31077
157	42979.37291
158	42911.87685
159	42857.70079
160	42802.84569
161	42733.6842
162	42676.1126
163	42643.94285
164	42589.74868
165	42546.97115
