iter	Passed	Remaining
0	9	9726
1	20	10301
2	34	11409
3	46	11491
4	58	11594
5	68	11382
6	82	11646
7	93	11594
8	106	11737
9	120	11959
10	132	11898
11	161	13280
12	172	13103
13	188	13248
14	202	13330
15	229	14094
16	246	14276
17	259	14166
18	278	14395
19	289	14198
20	305	14255
21	320	14247
22	339	14423
23	354	14415
24	369	14394
25	380	14272
26	393	14188
27	407	14138
28	419	14049
29	432	13976
30	445	13927
31	456	13811
32	467	13713
33	478	13607
34	490	13535
35	505	13549
36	519	13517
37	533	13513
38	542	13376
39	555	13321
40	573	13422
41	598	13654
42	616	13730
43	630	13704
44	642	13626
45	653	13557
46	666	13519
47	679	13474
48	689	13378
49	701	13332
50	713	13277
51	739	13476
52	756	13514
53	781	13683
54	796	13687
55	813	13721
56	832	13767
57	848	13775
58	862	13754
59	874	13697
60	885	13628
61	898	13594
62	910	13535
63	922	13495
64	933	13432
65	945	13386
66	960	13369
67	977	13399
68	994	13415
69	1008	13396
70	1021	13363
71	1034	13335
72	1048	13316
73	1062	13291
74	1081	13337
75	1094	13306
76	1119	13415
77	1139	13465
78	1152	13441
79	1166	13415
80	1183	13426
81	1197	13410
82	1209	13359
83	1221	13317
84	1234	13289
85	1250	13287
86	1262	13247
87	1282	13292
88	1297	13280
89	1309	13238
90	1321	13196
91	1333	13160
92	1348	13155
93	1361	13127
94	1377	13118
95	1388	13074
96	1399	13031
97	1411	12987
98	1421	12941
99	1431	12883
100	1441	12829
101	1456	12820
102	1474	12842
103	1484	12790
104	1497	12760
105	1511	12751
106	1524	12721
107	1538	12709
108	1551	12680
109	1564	12654
110	1591	12747
111	1609	12760
112	1623	12742
113	1636	12715
114	1647	12677
115	1660	12651
116	1672	12620
117	1683	12585
118	1695	12554
119	1706	12517
120	1719	12491
121	1730	12457
122	1741	12420
123	1753	12388
124	1764	12354
125	1777	12328
126	1791	12315
127	1803	12284
128	1813	12246
129	1826	12222
130	1840	12209
131	1854	12192
132	1868	12179
133	1885	12187
134	1900	12178
135	1914	12159
136	1928	12145
137	1941	12127
138	1952	12095
139	1964	12066
140	1975	12036
141	1988	12012
142	1998	11978
143	2011	11955
144	2021	11918
145	2031	11882
146	2044	11863
147	2056	11836
148	2070	11822
149	2083	11804
150	2094	11776
151	2108	11761
152	2120	11736
153	2131	11707
